district,square,population,population_density,the_left_bank_of_the_dnieper,the_right_bank_of_the_dnieper,latitude,longitude,avg_monthly_salary_full_time_employee,volume_of_sold_products,retail_turnover_of_enterprises_retail_trade,volume_of_sold_industrial_products_without_vat_and_excise_duty,automotive_retail,automotive_service,bbq_joint,bakery,bank,bath_house,big_box_store,bistro,boutique,brewery,café,caucasian_restaurant,clothing_store,coffee_shop,convenience_store,dance_studio,design_studio,dog_park,drugstore,electronics_store,financial_service,flower_store,forest,furniture_and_home_store,garden_center,grocery_store__supermarket,hardware_store,health_and_beauty_service,italian_restaurant,jewelry_store,lake,landmarks_and_outdoors,mobile_phone_store,motorcycle_dealership,mountain,music_venue,nail_salon,nature_preserve,park,pet_service,pet_supplies_store,photography_studio,playground,plaza,pop-up_store,pub,retail,soccer_field,sporting_goods_retail,sports_and_recreation,stadium,tattoo_parlor,toy__game_store,vegan_and_vegetarian_restaurant,wine_store,women's_store
Holosiivskyi,156,247600.0,1584,0,1,50.314050000000066,30.56788000000006,17994,492129600000.0,10709721600.0,16495128600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darnytskyi,134,314700.0,2480,1,0,50.41796948798497,30.595241401793253,10831,110973400000.0,13511483300.0,5001107400.0,0.1,0.4,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desnianskyi,148,358300.0,2421,1,0,50.445792324635846,30.43875670944604,10915,50897200000.0,7755992700.0,842508600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1
Dniprovskyi,67,354700.0,5294,1,0,50.46693000000005,30.629400000000032,11948,162095700000.0,8009692800.0,5155945900.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Obolonskyi,110,315500.0,2868,0,1,50.49146511329816,30.497470309737565,12973,162095700000.0,13936457100.0,7247356900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0
Pecherskyi,27,152000.0,5630,0,1,50.436345588182306,30.537156183861814,18678,848663100000.0,6421299700.0,20570448300.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
Podilskyi,34,198100.0,5826,0,1,50.477791604494676,30.4770637095395,19463,848663100000.0,4115164100.0,8162403400.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sviatoshynskyi,110,340700.0,3097,0,1,50.448767513083574,30.386365515923483,11666,126110900000.0,10889485600.0,4171721800.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomianskyi,40,364800.0,9120,0,1,50.43187286255516,30.4702811085151,14256,213954800000.0,7253543200.0,4959378300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shevchenkivskyi,27,230200.0,9208,0,1,50.464870000000076,30.444800000000043,16849,1102393500000.0,7595213200.0,78491067000.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
