store,latitude_x,longitude_x,latitude_y,longitude_y,metric_store,start_time,end_time,Starlink,Wi-fi,Генератор,Зняття готівки,Оплата карткою
Store 1,50.4153,30.5201113,50.415258,30.522344,2.182984967003582,450,1320,1,1,1,1,1
Store 2,50.4953722,30.5125626,50.495292,30.512299,2.636888906983799,450,1320,1,1,1,1,1
Store 3,50.4146777,30.6507842,50.414301,30.650869,2.503790683057181,450,1320,1,1,1,1,1
Store 4,50.4713541,30.4789656,50.471703,30.47874,2.376576957056512,480,1320,1,1,1,1,1
Store 5,50.5324081,30.605995,50.532248,30.608288,2.3408405498123317,450,1320,1,1,0,1,1
Store 6,50.4412356,30.5220373,50.441108,30.520819,2.1595671932336202,480,1320,1,1,1,1,1
Store 7,50.5186996,30.4583536,50.518478,30.45828,2.4056877866727775,450,1320,1,1,1,1,1
Store 8,50.4962737,30.3586109,50.49556,30.358346,2.3654879848909,540,1320,1,1,1,1,1
Store 9,50.4621102,30.4814373,50.462101,30.481258,2.781108835729466,300,1380,1,1,1,1,1
Store 10,50.4451509,30.4441388,50.445203,30.444036,2.6270584640009895,480,1320,1,1,1,1,1
Store 11,50.4110779,30.4048441,50.411143,30.40476,2.182414652434554,450,1320,1,1,1,1,1
Store 12,50.4071348,30.6660725,50.40711,30.66618,2.582744965691277,420,1320,1,1,1,1,1
Store 13,50.4932059,30.5759655,50.493389,30.576474,2.34966598409663,450,1320,1,1,1,1,1
Store 14,50.5002679,30.4503303,50.500799,30.450873,2.3510228525841237,450,1320,1,1,0,1,1
Store 15,50.5200805,30.5142603,50.520226,30.51452,2.754348335711019,300,1380,1,1,1,1,1
Store 16,50.5099573,30.505947,50.509914,30.50591,2.5659658174466666,450,1320,1,1,1,1,1
Store 17,50.4981355,30.5175452,50.497957,30.517891,2.2940250940953226,450,1320,1,1,1,1,1
Store 18,50.5040845,30.5120878,50.505198,30.512144,2.401745082237063,480,1320,1,1,1,1,1
Store 19,50.4621138,30.4941866,50.462079,30.494244,2.2615007731982804,480,1320,1,1,1,1,1
Store 20,50.4312328,30.3834772,50.431315,30.383651,2.51067903103221,450,1320,1,1,1,1,1
Store 21,50.4473747,30.4942204,50.44743,30.49444,2.50745106090197,300,1380,1,1,1,1,1
Store 22,50.4052978,30.6314739,50.405393,30.631846,2.230448921378274,450,1320,1,1,1,1,1
Store 23,50.4642626,30.6102157,50.464371,30.610285,2.4581844355702627,450,1320,1,1,1,1,1
Store 24,50.4049728,30.6115912,50.405591,30.611193,2.6080979463252794,540,1320,0,1,1,1,1
Store 25,50.3995507,30.6169757,50.399276,30.616704,2.742175043223677,450,1320,1,1,1,1,1
Store 26,50.4706678,30.4621492,50.470626,30.461664,2.0149403497929366,480,1320,1,1,1,1,1
Store 27,50.4136617,30.6362575,50.414054,30.636607,2.5299434016586693,450,1320,1,1,1,1,1
Store 28,50.4107009,30.5446817,50.41074,30.545757,2.3087777736647213,450,1320,1,1,1,1,1
Store 29,50.5025139,30.605154,50.502558,30.605179,2.631950826259217,450,1320,1,1,1,1,1
Store 30,50.5129259,30.6233228,50.513155,30.623016,2.5150786750759226,450,1320,1,1,1,1,1
Store 31,50.5071602,30.4407139,50.507233,30.44086,2.2591158441850663,450,1320,1,1,1,1,1
Store 32,50.4173526,30.618376,50.417252,30.618417,2.2709116394104814,480,1320,1,1,1,1,1
Store 33,50.505202,30.4534833,50.505279,30.453488,2.4316853446860116,450,1320,1,1,1,1,1
Store 34,50.4013046,30.5643976,50.401534,30.564091,2.498586208817518,450,1320,1,1,1,1,1
Store 35,50.4514,30.632373,50.451393,30.63235,2.2973227142053028,450,1320,1,1,1,1,1
Store 36,50.4925691,30.5997936,50.492563,30.599994,2.516667559099043,450,1320,1,1,1,1,1
Store 37,50.3742601,30.4483448,50.373832,30.446797,2.495821753385906,540,1320,1,1,1,1,1
Store 38,50.4246581,30.3829532,50.424666,30.383076,2.3780343224573315,450,1320,1,1,1,1,1
Store 39,50.3843498,30.4581089,50.384299,30.45815,2.5733358400660675,300,1380,1,1,1,1,1
Store 40,50.4272144,30.5306381,50.4272,30.530629,2.3062105081677613,450,1320,0,1,1,1,1
Store 41,50.516326,30.6021406,50.516616,30.601924,2.8163075994319398,420,1380,1,1,1,1,1
Store 42,50.435747,30.490125,50.435939,30.489985,2.3382572302462554,480,1320,1,1,1,1,1
Store 43,50.4848497,30.6394444,50.484819,30.639434,2.4302363534115106,450,1320,1,1,1,1,1
Store 44,50.4605094,30.6420613,50.460746,30.642653,2.3106933123433606,540,1200,1,1,1,1,1
Store 45,50.416482,30.519065,50.416525,30.519005,2.3679147387937527,450,1320,1,1,1,1,1
Store 46,50.5030314,30.5065173,50.503042,30.506489,2.370142847051102,480,1320,1,1,1,1,1
Store 47,50.5050319,30.4908374,50.505331,30.491009,2.363235804483694,450,1320,1,1,1,1,1
Store 48,50.5173378,30.6165047,50.517409,30.616649,2.636788689034375,450,1320,1,1,1,1,1
Store 49,50.5087389,30.6071503,50.508721,30.607418,2.574147064150723,450,1320,1,1,1,1,1
Store 50,50.5336179,30.6004935,50.533542,30.600594,2.3136563466180315,420,1320,1,1,1,1,1
Store 51,50.5225298,30.4513527,50.522658,30.451686,2.3684728384403617,480,1320,1,1,1,1,1
Store 52,50.3976213,30.63894,50.397688,30.638267,2.60788374435699,450,1320,1,1,1,1,1
Store 53,50.5190575,30.5017881,50.519076,30.501747,2.1562461903973444,450,1320,1,1,1,1,1
Store 54,50.5128977,30.4967561,50.512704,30.496875,2.595606434865603,480,1320,1,1,1,1,1
Store 55,50.5097303,30.4984048,50.509463,30.497693,2.654465333520146,480,1320,1,1,0,1,1
Store 56,50.5192023,30.4985759,50.519204,30.4985,2.5548524343720547,420,1320,1,1,1,1,1
Store 57,50.4714335,30.5022901,50.471374,30.502307,2.345569756056392,480,1320,1,1,1,1,1
Store 58,50.4280562,30.5937243,50.427943,30.593448,2.5260806918020298,450,1320,1,1,1,1,1
